run_id,fold,split,space,row_type,null_value,duan_smearing_factor,n,mae,rmse,r2,bias,picp,interval_width_mean,interval_width_median,picp_low_tercile,picp_high_tercile,tercile_low_max,tercile_high_min,quantile_crossing_rate
tabular_fold_0,0,geographic_holdout,duan_smearing,model,nan,1.468206133581957,325,31.962360040752415,49.15847838376493,-0.2921701704812911,14.816796889103252,0.5384615384615384,186.65301190880263,164.92835942423815,0.11818181818181818,0.9444444444444444,6.400000095367432,17.399999618530273,0.0
tabular_fold_0,0,geographic_holdout,duan_smearing,null_train_mean,79.45796203613281,1.468206133581957,325,63.55822653862146,69.24025551411727,-1.5635404336139294,54.074577434429756,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,spatial_validation,log1p,model,nan,1.4327492669549742,1532,0.7338924254073361,0.9742588511065567,0.4791544929103122,-0.09217779565062909,0.8263707571801566,2.7924150438010593,2.8522829391186337,0.775390625,0.7279843444227005,2.844909429550171,3.9232921600341797,0.0
tabular_fold_1,1,spatial_validation,log1p,null_train_mean,3.4847443103790283,1.4327492669549742,1532,1.082416276231058,1.3507045662884225,-0.0011080147343620617,-0.04493581953971566,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,spatial_validation,naive_expm1,model,nan,1.4327492669549742,1532,54.54877999597369,109.16333585722369,0.23713322681851579,-32.63833561654691,0.8263707571801566,176.60702074229457,137.197821651908,0.775390625,0.7279843444227005,16.200000762939453,49.566665649414055,0.0
tabular_fold_1,1,spatial_validation,naive_expm1,null_train_mean,79.49908447265625,1.4327492669549742,1532,87.87446342884289,125.04842757875898,-0.001040325009223242,-4.031224346532445,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,spatial_validation,duan_smearing,model,nan,1.4327492669549742,1532,57.0275400795044,108.3661372962884,0.2482346770550663,-10.182122252256514,0.8152741514360313,253.0335795076245,196.57007839959044,0.55859375,0.9041095890410958,16.200000762939453,49.566665649414055,0.0
tabular_fold_1,1,spatial_validation,duan_smearing,null_train_mean,79.49908447265625,1.4327492669549742,1532,87.87446342884289,125.04842757875898,-0.001040325009223242,-4.031224346532445,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,geographic_holdout,log1p,model,nan,1.4327492669549742,325,0.928583537160695,1.1303200855624176,-0.012615103100731329,0.46456931481969177,0.6923076923076923,2.7076139826209213,2.76847918925798,0.32727272727272727,0.8888888888888888,2.0014801025390625,2.912350654602051,0.0
tabular_fold_1,1,geographic_holdout,log1p,null_train_mean,3.4847443103790283,1.4327492669549742,325,1.2340525718835684,1.4472714169346441,-0.660127641251189,0.9126267700928908,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,geographic_holdout,naive_expm1,model,nan,1.4327492669549742,325,22.818063489262965,42.78729360731855,0.021068096282657156,-0.9934732275504852,0.6923076923076923,131.94187329764725,122.07623067552467,0.32727272727272727,0.8888888888888888,6.400000095367432,17.399999618530273,0.0
tabular_fold_1,1,geographic_holdout,naive_expm1,null_train_mean,79.49908447265625,1.4327492669549742,325,63.59276938530115,69.27237567364924,-1.5659194088478845,54.11569987095319,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_1,1,geographic_holdout,duan_smearing,model,nan,1.4327492669549742,325,28.650892215491265,45.542285639319836,-0.10905349234891126,9.993992307665799,0.56,189.03962224787017,174.9046300129843,0.10909090909090909,0.9444444444444444,6.400000095367432,17.399999618530273,0.0
